名稱,網址,收費頁面,聯絡電話,服務地區,統一編號
Home心,https://homexin.com.tw/?utm=sunkuo.cc,https://homexin.com.tw/payment/?utm=sunkuo.cc,,,50870306
家天使,https://ghsha.com/?utm=sunkuo.cc,https://ghsha.com/?utm=sunkuo.cc,0800-202-555,,52870464
照顧好居家照護,http://www.xn--fctvmn99drvs.tw/?utm=sunkuo.cc,http://www.xn--fctvmn99drvs.tw/p-04.html?utm=sunkuo.cc,0911-486-494,,
福家樂看護中心,https://www.careu.org.tw/?utm=sunkuo.cc,https://www.careu.org.tw/careu04.html?utm=sunkuo.cc,0938-691-873,,
仁安看護,https://renancare.com/?utm=sunkuo.cc,https://renancare.com/caregiver-cost-guide-taiwan/?utm=sunkuo.cc,0981-120-173,,
善禾看護,https://seniorcare-6vukvzah.manus.space/?utm=sunkuo.cc,https://seniorcare-6vukvzah.manus.space/?utm=sunkuo.cc,0903-604-542,雙北及桃園地區，台中,
惠順看護,https://wecareyou365.com/?utm=sunkuo.cc,https://wecareyou365.com/paper/other_page.php?id=14669&utm=sunkuo.cc,"
0918-036-798",,
全照護臨時看護,https://www.carecare.com.tw/?utm=sunkuo.cc,,0913-028-300 ,台北市、新北市、基隆市、桃園市與新竹地區,
好照顧居家看護中心,http://www.care999.mymailer.com.tw/?utm=sunkuo.cc,http://www.care999.mymailer.com.tw/p04.html?utm=sunkuo.cc,0958-742-844,基隆市、台北縣、台北市、桃園縣、新竹縣,
沐陽照護,https://www.muyang3131.com/?utm=sunkuo.cc,https://www.muyang3131.com/?utm=sunkuo.cc,0963-811-590,台北、台中、台南、高雄,90293772
守馥居家,https://www.sfcare.com.tw/?utm=sunkuo.cc,https://www.sfcare.com.tw/service?utm=sunkuo.cc,0906-215799,彰化,
瑞恩看護,https://raytai.org.tw/?utm=sunkuo.cc,https://raytai.org.tw/%E7%91%9E%E6%81%A9%E7%9C%8B%E8%AD%B7%E4%BA%BA%E5%8A%9B%E6%B4%BE%E9%81%A3/?utm=sunkuo.cc,05-235-2600 #45,嘉義,
兆福看護,https://www.nuan580.com/?utm=sunkuo.cc,,0958-545-866,,94716160
安康人力看護,https://www.anbom.com.tw/?utm=sunkuo.cc,https://www.anbom.com.tw/anbom3.html?utm=sunkuo.cc,0983-888-004,基隆.台北市.新北市.桃園市,
亞力看護,https://qingmeihs.com.tw/?utm=sunkuo.cc,https://qingmeihs.com.tw/faq/?utm=sunkuo.cc,0932-086-002,,
看護銀行,https://www.look5.com.tw/taiwannurse/?utm=sunkuo.cc,https://www.look5.com.tw/taiwannurse/?utm=sunkuo.cc,0800-232-008,,
照護家,https://ty.familyicare.com/?utm=sunkuo.cc,https://ty.familyicare.com/?utm=sunkuo.cc,0908-117-700,,
滿緣長照,https://www.manyuan.com.tw/?utm=sunkuo.cc,https://www.manyuan.com.tw/collections/selfpay?utm=sunkuo.cc,07-2151383,,
安捷看護,https://changanhos.com.tw/?utm=sunkuo.cc,https://changanhos.com.tw/faq/?utm=sunkuo.cc,0902-135-012,台北市、新北市、桃園市、新竹市（部分區域）、台中市、彰化縣市、南投縣（部分區域）,
好起來看護,https://www.hao76.tw/?utm=sunkuo.cc,https://www.hao76.tw/article/details.php?id=9201&utm=sunkuo.cc,0958-805-582,,
天醫看護,https://www.tianyi-care.com/?utm=sunkuo.cc,https://www.tianyi-care.com/?utm=sunkuo.cc,0981-441-999,台中、南投、彰化、員林,
恩輝關懷照護,https://www.enhuicare.com/?utm=sunkuo.cc,,0958-715-494,宜蘭、基隆、台北、桃園、新竹、苗栗、台中、彰化、南投、雲林、嘉義、台南、高雄、屏東,
平安家看護,https://pingankh.com.tw/?utm=sunkuo.cc,https://pingankh.com.tw/?utm=sunkuo.cc,0911-362-196,高雄、屏東、台南,
佑寧台南看護,https://youning.lifecloud.tw/?utm=sunkuo.cc,https://youning.lifecloud.tw/?utm=sunkuo.cc,0907-676-061,台南,
長奕看護,https://www.twchangyi.com.tw/?utm=sunkuo.cc,https://www.twchangyi.com.tw/price/?utm=sunkuo.cc,0925-775-350,嘉義市、嘉義縣、台中市、雲林縣、台南市,36711644
侒侒看護,https://cgt.com.tw/?utm=sunkuo.cc,https://cgt.com.tw/Service1?utm=sunkuo.cc,0934-373-585,台北市、新北市、基隆、桃園,
珄情國際,https://mercycare.com.tw/?utm=sunkuo.cc,,0906-828-275,,
德宥居家長照,https://www.dycare.com.tw/?utm=sunkuo.cc,,03-4276354,,
看護心,https://24khcare.tw/?utm=sunkuo.cc,https://24khcare.tw/?utm=sunkuo.cc,0972-733-031 ,,
添福居家,https://www.care88.com.tw/?utm=sunkuo.cc,,04-2202-8666,台中,92198079
木棉花看護,https://www.mumainhua.com/?utm=sunkuo.cc,,0977-119-083,台南、高雄、屏東,
優照護,https://ucarer.tw/?utm=sunkuo.cc,,0800-800-069 ,台北、新北、基隆、桃園、新竹、台中、彰化、台南、高雄,42654776
安馨看護,https://www.annxintw.com/?utm=sunkuo.cc,,0916-604-910,台北市、新北市、基隆市、桃園市,
順心看護,https://shunxintw.com.tw/?utm=sunkuo.cc,https://shunxintw.com.tw/faq/?utm=sunkuo.cc,0972-208-368,台北市、新北市、桃園市,
優善看護,https://deanhospital.com.tw/?utm=sunkuo.cc,https://deanhospital.com.tw/faq/?utm=sunkuo.cc,0960-804-464,台北市、新北市、桃園市、台中市、彰化縣,
