名稱,網址,聯絡電話,服務地區
桃庚洗腎中心,https://www.drkidney.com.tw/edcontent_d.php?lang=tw&tb=17&id=1470, 0800-217-999,
共享車隊,https://www.sharecar.tw/care/care-dialysis,02-2828-0333,
生通股份有限公司,https://www.wcarsharing.com/portfolio/hemodialysis,02-7756-6389,
長期洗腎預約,https://www.good88.com.tw/paper/other_select_index.php?id=3158&title_id=9115&group_id=732,0975-562578 ,
 祝三實業,https://www.trihce.com/about/11,02-2953-5583,
生通股份有限公司,,03-5536623,新竹
安行國際租賃,,03-6211161,新竹
長青福祉租賃,,03-5277370,新竹
全豪小客車,,	03-6572785,新竹
光竹租賃,,03-5268133,新竹
如星福祉,,03-5300811,新竹
三泰汽車行,,03-5713333,新竹
台灣大車隊,,55688#9,新竹
多扶接送,https://www.duofu.com.tw/,02-8663-9398,基隆
南門醫療社團法人南門醫院,https://www.nanmen.org.tw/?aid=60&pid=29&iid=4,08-8881035,屏東
溫佳照顧,https://www.wejoin168.com/,04-836-9122,彰化
