編號,區域,診所名稱,地址,電話
1,中區,錦和牙醫診所,臺中市中區雙十路一段35-16號,04-22263323
2,中區,三民張牙醫診所,臺中市中區臺灣大道一段546號,04-22183266
3,中區,安正牙醫診所,臺中市中區民權路80巷1號,04-22247541
4,中區,澄清綜合醫院,臺中市中區平等街139號,04-24632000#66200
5,中區,張家禎牙醫診所,臺中市中區中華路二段22號,04-22010889
6,東區,佳音牙醫診所,臺中市東區建成路639-20號,04-22816290
7,東區,任孚牙醫診所,臺中市東區進化路90號,04-22122132
8,東區,禾安牙醫診所,臺中市東區富榮街57號,04-22151882
9,東區,十甲牙醫診所,臺中市東區十甲路403號,04-22133598
10,東區,維欣牙醫診所,臺中市東區大智路273號,04-22830088
11,東區,樂業牙醫診所,臺中市東區樂業路216號,04-22151000
12,東區,永華牙醫診所,臺中市東區振興路185-1號,04-22809688
13,東區,台新醫院,臺中市東區振興路441號,04-22139966#577
14,南區,進安牙醫診所,臺中市南區復興路二段133-2號,04-22628589
15,南區,怡人牙醫診所,臺中市南區美村路二段186號,04-22609168
16,南區,群恩牙醫診所,臺中市南區仁和路232號,04-22859669
17,南區,偉林牙醫診所,臺中市南區復興路一段391號,04-22610533
18,南區,尚美牙醫診所,臺中市南區國光路104號,04-22241652
19,南區,康健牙醫診所,臺中市南區南和路213號1樓,04-22638803
20,南區,東傑牙醫診所,臺中市南區忠明南路1114號,04-23768733
21,南區,植得植牙美學牙醫診所,臺中市南區台中路46、48號,04-22293733
22,南區,銓臻美學牙醫診所,臺中市南區復興路一段380號3樓,04-22609879
23,南區,小貝齒牙醫診所,臺中市南區復興路一段380號5樓,04-22626769
24,南區,陳志勲牙醫診所,臺中市南區復興路一段380號6樓,04-22626769
25,南區,科隆白金牙醫診所,臺中市南區復興路一段380號2樓,04-22626769
26,南區,中山醫學大學附設醫院,臺中市南區建國北路一段110號,04-24739595#55313
27,南區,汎宇牙醫診所,臺中市南區復興路一段519號,04-22616622
28,南區,權泓牙醫診所,臺中市南區德富路217-1號,04-22608811
29,南區,長庚牙醫診所(南區),臺中市南區台中路166號,04-22876226
30,西區,仁友牙醫診所,臺中市西區美村路一段56號,04-23219833
31,西區,永達牙醫診所,臺中市西區中興里美村路一段156號1樓,04-23023568
32,西區,振傑牙醫診所,臺中市西區明義街72號,04-23285998
33,西區,沈牙醫診所,臺中市西區民權路211-4號,04-23051283
34,西區,邱牙醫診所(西區),臺中市西區三民路一段133號,04-23713848
35,西區,鴻德牙醫診所,臺中市西區五廊街29-4號,04-22202095
36,西區,白居正牙醫診所,臺中市西區公益路180號,04-23224112
37,西區,大來牙醫診所,臺中市西區忠明南路5號,04-23255600
38,西區,真愛美學牙醫診所,臺中市西區精誠路260號1樓,04-23215899
39,西區,皓皓牙醫診所,臺中市西區三民路一段125-7號,04-23715931
